"","date","TDOC"
"578","2017/10/12",32.84999847
"579","2017/10/13",32.15000153
"580","2017/10/16",32.70000076
"581","2017/10/17",34
"582","2017/10/18",34.29999924
"583","2017/10/19",34.04999924
"584","2017/10/20",34.25
"585","2017/10/23",33.20000076
"586","2017/10/24",32.95000076
"587","2017/10/25",32
"588","2017/10/26",31.75
"589","2017/10/27",33
"590","2017/10/30",32
"591","2017/10/31",33.04999924
"592","2017/11/01",30.79999924
"593","2017/11/02",32.04999924
"594","2017/11/03",32.5
"595","2017/11/06",31.25
"596","2017/11/07",31.35000038
"597","2017/11/08",29.60000038
"598","2017/11/09",29.64999962
"599","2017/11/10",29
"600","2017/11/13",29.39999962
"601","2017/11/14",28.29999924
"602","2017/11/15",28.04999924
"603","2017/11/16",28.70000076
"604","2017/11/17",28.39999962
"605","2017/11/20",30.39999962
"606","2017/11/21",33.59999847
"607","2017/11/22",34
"608","2017/11/24",35.25
"609","2017/11/27",36.75
"610","2017/11/28",36.75
"611","2017/11/29",35.54999924
"612","2017/11/30",37.09999847
"613","2017/12/01",35.70000076
"614","2017/12/04",33.59999847
"615","2017/12/05",32.79999924
"616","2017/12/06",31.5
"617","2017/12/07",33.75
"618","2017/12/08",33.54999924
"619","2017/12/11",32.29999924
"620","2017/12/12",33.25
"621","2017/12/13",34.65000153
"622","2017/12/14",34
"623","2017/12/15",35.95000076
"624","2017/12/18",36.34999847
"625","2017/12/19",35.59999847
"626","2017/12/20",35.59999847
"627","2017/12/21",35.20000076
"628","2017/12/22",35.20000076
"629","2017/12/26",35.90000153
"630","2017/12/27",35.59999847
"631","2017/12/28",35.45000076
"632","2017/12/29",34.84999847
"633","2018/01/02",36.20000076
"634","2018/01/03",36.84999847
"635","2018/01/04",37.20000076
"636","2018/01/05",37.5
"637","2018/01/08",36.04999924
"638","2018/01/09",34.5
"639","2018/01/10",33.09999847
"640","2018/01/11",33.20000076
"641","2018/01/12",32.65000153
"642","2018/01/16",32.75
"643","2018/01/17",32.45000076
"644","2018/01/18",31.29999924
"645","2018/01/19",32.65000153
"646","2018/01/22",32.75
"647","2018/01/23",34.54999924
"648","2018/01/24",34.90000153
"649","2018/01/25",35.29999924
"650","2018/01/26",36.5
"651","2018/01/29",36.09999847
"652","2018/01/30",36.29999924
"653","2018/01/31",37.40000153
"654","2018/02/01",37.04999924
"655","2018/02/02",35.29999924
"656","2018/02/05",33.95000076
"657","2018/02/06",34.70000076
"658","2018/02/07",34.09999847
"659","2018/02/08",33.04999924
"660","2018/02/09",32.95000076
"661","2018/02/12",33.79999924
"662","2018/02/13",34.15000153
"663","2018/02/14",35.75
"664","2018/02/15",36.90000153
"665","2018/02/16",37.15000153
"666","2018/02/20",37.75
"667","2018/02/21",38.65000153
"668","2018/02/22",38.79999924
"669","2018/02/23",37.95000076
"670","2018/02/26",38.54999924
