"","date","SQ","PYPL","MA","V","index"
"1756",2022-11-09,-0.29601358084602,-0.353849615073335,0.58191763818639,0.558323170941049,0.490377613208083
"1757",2022-11-10,-0.37374562583783,-0.389926907546297,0.489191601441503,0.424831672849703,0.15035074090708
"1758",2022-11-11,-0.224246559271081,-0.270355675403857,0.687252096388922,0.622983682925935,0.815633544639919
"1759",2022-11-14,-0.161710263058316,-0.208095513948603,0.70567979304473,0.613250154778661,0.949124170816471
"1760",2022-11-15,-0.182115777762549,-0.230463352565314,0.706409196821065,0.645023093935563,0.938853160428764
"1761",2022-11-16,-0.136461162896876,-0.225312362206713,0.744133246358315,0.698562628497181,1.08092234975191
"1762",2022-11-17,-0.192685368647608,-0.266822258381987,0.737303441451816,0.701130519514576,0.978926333936796
"1763",2022-11-18,-0.215585882789413,-0.287435248329708,0.723729139540252,0.715686300558727,0.936394308979857
"1764",2022-11-21,-0.247438338641182,-0.298037183312383,0.745772053206778,0.712432095030033,0.912728626283246
"1765",2022-11-22,-0.305697070322377,-0.361212727838795,0.696193954720897,0.635795462881028,0.665079619440753
"1766",2022-11-23,-0.292932250953515,-0.371815236087557,0.757332060104118,0.704383637715246,0.796968210778292
"1767",2022-11-25,-0.275323447965672,-0.359445552282068,0.790799293195067,0.728363183611767,0.884393476559094
"1768",2022-11-28,-0.283247688567084,-0.369311907014893,0.814872254163819,0.763677216597024,0.925989875178866
"1769",2022-11-29,-0.312739044698695,-0.371520774249318,0.753964751795122,0.72031098331773,0.790015916164839
"1770",2022-11-30,-0.301882433047893,-0.405239186442472,0.740673001634516,0.68264536189879,0.71619674404294
"1771",2022-12-01,-0.21881535245492,-0.393902323058722,0.861233066254345,0.818770850214273,1.06728624095497
"1772",2022-12-02,-0.19826383954346,-0.392135534810919,0.901097781132851,0.818770850214273,1.12946925699274
"1773",2022-12-05,-0.212796751456816,-0.44910183468592,0.894396419262735,0.830107584560182,1.06260541768018
"1774",2022-12-06,-0.286769461553847,-0.464403551998498,0.858422652226503,0.761790639783549,0.869040278457707
"1775",2022-12-07,-0.313765954547965,-0.484848476325167,0.780709121698656,0.682987656591179,0.665082347416703
"1776",2022-12-08,-0.317140019233091,-0.452633406227364,0.77970912513755,0.661263608938724,0.671199308615819
"1777",2022-12-09,-0.283394461442462,-0.455576124105312,0.813782671074015,0.68332995658184,0.758142042108081
"1778",2022-12-12,-0.265344076921785,-0.46513915889992,0.792525764296382,0.676485953821522,0.738528482296198
"1779",2022-12-13,-0.241860832102234,-0.461755448240761,0.877275236062516,0.777400583063588,0.951059538783108
"1780",2022-12-14,-0.17095881211237,-0.463226718992266,0.868031479835703,0.750816166345888,0.984662115076955
