"","date","CRWD","ZS","OKTA","PANW","FTNT","CYBR","index"
"1325",2023-06-21,0.153535384876351,0.171402025340184,-0.804954618164735,1.49934937837398,1.54716506289933,0.600649662525728,3.16714689585084
"1326",2023-06-22,0.0461525408580394,0.123266033416359,-0.847629303598639,1.46120423286162,1.52136191455312,0.604411365861285,2.90876678395178
"1327",2023-06-23,0.0716129502880686,0.123139631059815,-0.838533178764048,1.60655736526594,1.5565284969556,0.670961761961292,3.19026702676667
"1328",2023-06-26,0.0435403244930456,0.0961228865560382,-0.863251659548555,1.53262495219099,1.54388498697331,0.509459679755555,2.86238117042039
"1329",2023-06-27,0.0195025965342844,0.0836289711723593,-0.857856619237017,1.53063510711902,1.51901229481517,0.484086218540444,2.77900856894426
"1330",2023-06-28,0.0517678954020258,0.120866762440727,-0.86353551042698,1.6410841159266,1.64029046044039,0.528727432601215,3.11920115638397
"1331",2023-06-29,0.062344097827088,0.113922173700195,-0.858424624182935,1.66678840730026,1.67121084027401,0.460595565346623,3.11643646026524
"1332",2023-06-30,0.0479808894249781,0.123139631059815,-0.864387247526252,1.66565947048126,1.7060967304159,0.524027524153888,3.20251699800959
"1333",2023-07-03,0.0855783149243955,0.141579747715371,-0.86183210817727,1.69638958834515,1.72893264445611,0.583723582136553,3.37437176940031
"1334",2023-07-05,0.0737015130104247,0.145243233281582,-0.8631096778725,1.68413397872141,1.68638414582669,0.545882140002431,3.27223533297004
"1335",2023-07-06,0.062213612091332,0.150044264115525,-0.847771423133503,1.72971836964568,1.6702898365247,0.605351628752305,3.36984628799604
"1336",2023-07-07,0.0430179836311625,0.0840075251841407,-0.872901134328882,1.66664716012553,1.68592481610597,0.545177138778773,3.1518734894967
"1337",2023-07-10,0.0487644185007955,0.102181511350528,-0.8734685607588,1.58444728281876,1.68730234916987,0.567504590172045,3.1167315912532
"1338",2023-07-11,0.125760266473035,0.242376652941005,-0.856294526448291,1.58274552302429,1.83133209451933,0.602530501618922,3.52845051212829
"1339",2023-07-12,0.136714900871324,0.155351147321009,-0.84421883700177,1.62184855694207,1.85180502719934,0.618753480508074,3.54025427584005
"1340",2023-07-13,0.0759204508418722,0.0327935315468119,-0.839101836437448,1.3717586729725,1.78018004905167,0.596417773331867,3.01796864130727
"1341",2023-07-14,0.136193371776759,0.126928163677817,-0.802391485540591,1.46248561257527,1.84869603094097,0.692368631575702,3.46428032500593
"1342",2023-07-17,0.118586648462355,0.130590558118564,-0.842797511765172,1.49451166800995,1.87835634718476,0.726015251165708,3.50526296117617
"1343",2023-07-18,0.162009477028481,0.211365398348838,-0.840523348651281,1.61930108165314,1.93786411237526,0.792393118895681,3.88240983965012
"1344",2023-07-19,0.164877503677532,0.249215042303843,-0.840665526144281,1.59508038043168,1.93612779081742,0.798515097352072,3.90315028843827
"1345",2023-07-20,0.225611072924655,0.328202056514554,-0.84734506066995,1.5618868564083,1.86819930647577,0.74484203710955,3.88139626876288
"1346",2023-07-21,0.101236732281258,0.161795998995337,-0.85601043375712,1.50575103678901,1.82418779443061,0.520973088230523,3.25793421696962
"1347",2023-07-24,0.138149336431074,0.175826379867364,-0.852601687783714,1.53091944029761,1.84469547250733,0.507579992514969,3.34456893383463
"1348",2023-07-25,0.123021459602889,0.16723076368334,-0.845497800570942,1.52395386747484,1.80493033244502,0.599239137833259,3.3728777604684
"1349",2023-07-26,0.138671051014746,0.254281486692084,-0.845071489876071,1.51798219882529,1.85269273742602,0.614991390126836,3.5335473742089
"1350",2023-07-27,0.186776208846136,0.272145598627844,-0.83256127350618,1.5478282333894,1.80448174793251,0.656143976673278,3.63481449196299
"1351",2023-07-28,0.163573992615193,0.254788072047056,-0.848197666445729,1.55166325488432,1.77385925682427,0.659907212896683,3.5555941228218
"1352",2023-07-31,0.199418224225174,0.283172647893543,-0.795982502302127,1.59649776827774,1.78378830447571,0.77096930127064,3.83786374384067
"1353",2023-08-01,0.278379359118187,0.319826251074596,-0.754934967867829,1.61802719816458,1.82508164490918,0.811465661497388,4.0978451468961
"1354",2023-08-02,0.334403513918822,0.350547656320423,-0.764488155699256,1.6634013336205,1.83890968498638,0.785094566991193,4.20786860013807
"1355",2023-08-03,0.188079445032236,0.19517295641523,-0.819331590102486,1.42204007666591,1.6707503553918,0.51274909152661,3.1694603349293
"1356",2023-08-04,0.224829282731024,0.198082173519351,-0.810791810527895,1.44027105242815,1.73667534219559,0.637564770950079,3.4266308112963
"1357",2023-08-07,0.132802852488297,0.139811234416327,-0.816200727588265,1.16820841645068,0.834211986438105,0.56562420739203,2.02445796959718
"1358",2023-08-08,0.139062235966238,0.129453943662397,-0.808229283977654,1.12459527700553,0.879062856111807,0.520032996157574,1.9839780249259
"1359",2023-08-09,0.0726572415862389,0.0455307142898854,-0.831565790976036,1.07145447281889,0.921030517356314,0.309140315346654,1.58824747042194
"1360",2023-08-10,0.0671746350599365,0.0658387192097891,-0.853311952301066,1.09956537669702,0.979403303919136,0.279562031626935,1.63823211421175
"1361",2023-08-11,0.0984967369921392,0.116321128133276,-0.823031018632715,1.10790582917889,1.01702617611957,0.717308434458566,2.23402728624973
"1362",2023-08-14,0.103193657538109,0.0992783675398682,-0.832703511998957,1.16310704769254,0.974579410601973,0.586074088715484,2.09352906008901
"1363",2023-08-15,0.157316176610397,0.124023681241709,-0.820469885496859,1.18266729437052,0.973614584798236,0.658731145988827,2.27588299751282
"1364",2023-08-16,0.121586738853071,0.0962492261634447,-0.820469885496859,1.13053817996413,0.949976058671712,0.625807231422966,2.10368754957846
"1365",2023-08-17,0.113369124425978,0.0636941470261411,-0.81890459173929,1.10663341962417,0.902216610266462,0.568444611879463,1.93545332148292
"1366",2023-08-18,0.0530738024101896,0.00719876123975249,-0.842513298014853,1.0163154619259,0.865075482692065,0.460360803073867,1.55951101332692
"1367",2023-08-21,0.0846648949599,0.0142588957622062,-0.828081257280078,1.04619641695938,0.853018509330829,0.434994150237299,1.60505160996954
"1368",2023-08-22,0.177261135002127,0.0971326455917035,-0.810791810527895,1.48810820613479,0.912347025197967,0.550347460379969,2.41440466177866
"1369",2023-08-23,0.156794772607381,0.0860264537997761,-0.832987986106864,1.39910681312646,0.908970183989557,0.50053145041883,2.21844168783514
"1370",2023-08-24,0.176088054936054,0.131095855932863,-0.802676242409224,1.41477571312667,0.950940934771856,0.593361867809716,2.46358618416793
"1371",2023-08-25,0.0670439615183789,0.058774451702771,-0.833130112932938,1.29787178702855,0.900769489119723,0.522148028907733,2.01347760534422
"1372",2023-08-28,0.120934546754023,0.0968801558966892,-0.820896744338632,1.34498531332502,0.932608782770606,0.644384814319016,2.31889686872672
"1373",2023-08-29,0.0485031769280862,0.0789600103213336,-0.82246189260481,1.36862526655023,0.927302063046421,0.614286053656544,2.21521467789781
"1374",2023-08-30,0.0833597543757068,0.11745745120351,-0.826160878769824,1.38999045828333,1.02040207778461,0.668374352593796,2.45342321547113
"1375",2023-08-31,0.115716999283289,0.153961177233636,-0.801821853738576,1.44667967502163,1.04885181982664,0.702014691831087,2.66540250945771
"1376",2023-09-01,0.2962283724132,0.264922949678149,-0.660066964687336,1.52352737436211,1.00014515187395,0.812172082438124,3.2369289660782
"1377",2023-09-05,0.272776976114903,0.294456482267036,-0.62227541927751,1.51528031374093,1.03197576011561,0.855037760510267,3.34725187347124
"1378",2023-09-06,0.327497668219557,0.349785678770365,-0.607878986648394,1.54868067966528,1.08211066103262,0.880952876205756,3.58114857724518
"1379",2023-09-07,0.337921416410265,0.294076086376218,-0.603176196020349,1.55066917506261,1.0975291088889,0.941992307196106,3.61901189791375
"1380",2023-09-08,0.34326377701497,0.327948350590029,-0.600611279417819,1.55393559303265,1.14279291670459,0.859042402325822,3.62637176025024
"1381",2023-09-11,0.362158346346896,0.3247754332665,-0.604886268486336,1.60074907090215,1.18608180570286,0.866581157418188,3.73545954515026
"1382",2023-09-12,0.416900514722807,0.379134710813117,-0.566429894538428,1.66297792006679,1.23410818443604,0.851504467667327,3.97819590316765
"1383",2023-09-13,0.382879552706668,0.317795964882663,-0.601893771243752,1.5580534703344,1.15867182003166,0.847499713424302,3.66300675013594
"1384",2023-09-14,0.367110415957493,0.294709952397434,-0.604031168796581,1.56600332042956,1.11631422836328,0.865638608994521,3.60574535734571
"1385",2023-09-15,0.396565059816112,0.305236338515544,-0.62412883161826,1.55933148043585,1.1394238474125,0.942935078399058,3.7193629729608
"1386",2023-09-18,0.327758311086934,0.265556506183291,-0.648655954979136,1.47942642367619,1.03920877211576,0.905694700259257,3.36898875834229
"1387",2023-09-19,0.347563799852986,0.248075257054452,-0.665059763295884,1.47501381764097,1.01172094560497,0.927849048934921,3.34516310579242
"1388",2023-09-20,0.328409822797882,0.252254828127292,-0.681038265492564,1.42204007666591,1.01123854085409,0.825595559119639,3.15850056207225
"1389",2023-09-21,0.307433022414319,0.24187003902849,-0.659781716568654,1.40964776336373,0.997251201811762,0.974763352108932,3.27118366215858
"1390",2023-09-22,0.289714102098052,0.17304521670345,-0.69402181402527,1.29772959129944,0.931161375791063,0.774971571394869,2.7726000432616
"1391",2023-09-25,0.29023535362341,0.209973615675793,-0.700442288848398,1.31295516697679,0.905111059089357,0.850562034857254,2.86839494137421
"1392",2023-09-26,0.255709354443142,0.175320788147637,-0.707433442410254,1.28478449124281,0.898839883812902,0.808404673323604,2.71562574855984
"1393",2023-09-27,0.263005478417718,0.163439029927537,-0.715423243511716,1.28848260957331,0.866040107760845,0.721544175259146,2.58708815742684
"1394",2023-09-28,0.29635858646395,0.174056545570758,-0.700156980620714,1.36121933049962,0.900286994306949,0.675901634310712,2.70766611053127
"1395",2023-09-29,0.325152479670376,0.199979431083051,-0.689313431015225,1.40793828992735,0.922477720519298,0.75331515496652,2.91954964515136
